phrase,count,source,seed,cluster,intent,intent_label,intent_legacy,service_fit,priority
антивирус,448676,similar,защита серверов от вирусов,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
противовирусные,418856,similar,защита серверов от вирусов,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
касперский,417192,similar,kaspersky security for mail server,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
антивирус касперского,61400,similar,kaspersky security for mail server,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
касперский антивирус,61400,similar,kaspersky security for mail server,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
вирусная инфекция,60789,similar,защита серверов от вирусов,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
агент национальной безопасности,52150,similar,аудит информационной безопасности компании,consulting,negative,Негатив / шум,irrelevant,skip,P0-skip
электронная почта войти,32903,similar,защита почтового сервера,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
mail почта войти,32591,similar,защита почтового сервера,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
antivirus,22426,similar,защита серверов от вирусов,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
kis,20122,similar,kaspersky optimum security,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
бесплатная электронная почта,19525,similar,защита почтового сервера,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
почта отправить электронное письмо,17403,similar,защита почтового сервера,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
касперский ключи,17246,similar,купить kaspersky для бизнеса,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
аудит ит,17242,similar,аудит информационной безопасности компании,consulting,negative,Негатив / шум,irrelevant,skip,P0-skip
антивирус на пк,16474,similar,защита серверов от вирусов,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
antimalware service executable,14987,similar,защита серверов от вирусов,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
касперский фри,13364,similar,kaspersky security for mail server,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
защитник виндовс,12386,similar,антивирус для серверов windows,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
антивирусные программы,10116,similar,защита серверов от вирусов,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
free antivirus,8993,similar,антивирус для серверов windows,automation-processes,negative,Негатив / шум,irrelevant,skip,P0-skip
фз о защите информации,8473,similar,аудит информационной безопасности компании,consulting,informational,Информационный,informational,blog,P4-blog
